"номер","община","име","от автогара","до автогара","разстояние","тръгва","пристига","връщане/тръгва","връщане/пристига","Брой междинни спирки","Изпълнява се"
"number","munucipal","name","from_station","to_station","length","departure","arrival","return_departure","return_arrival","intermediate_stops","Information"
"12201","Струмяни","Сандански-Горна Крушица","Горна Крушица","Сандански","34","19.01","20.2","","","5","в понед., сряда, петък и неделя"
"12101","Струмяни","Сандански-Илинденци","Сандански","Илинденци","19","6","6.4","6.41","7.2","1",""
"12102","Струмяни","Сандански-Илинденци","Сандански","Илинденци","19","13","13.4","13.41","14.2","1",""
"12103","Струмяни","Сандански-Илинденци","Сандански","Илинденци","19","19","19.4","19.41","20.1","1",""
"12101","Струмяни","Сандански-Никудим","Сандански","Никудим","32","7","8.14","8.25","9.39","5","без вторник и четвъртък"
"12102","Струмяни","Сандански-Никудим","Сандански","Никудим","32","15","16.14","16.25","17.39","5","без вторник и четвъртък"
"12101","Струмяни","Сандански-Добри Лаки","Сандански","Добри Лаки","72","6","8.1","8.11","10.05","5","в понед., сряда, петък и неделя"
"12102","Струмяни","Сандански-Добри Лаки","Сандански","Добри Лаки","72","15.1","16.4","16.42","18.3","5","в понед., сряда, петък и неделя"
"13101","Хаджидимово","Благоевград-Хаджидимово","Хаджидимово","Благоевград","124","7","9.5","16.3","19.05","0",""
"13101","Хаджидимово","Гоце Делчев-Абланица","Гоце Делчев","Абланица","27","6.4","7.2","7.3","8.05","2",""
"13102","Хаджидимово","Гоце Делчев-Абланица","Гоце Делчев","Абланица","27","12.5","13.25","13.3","14.05","2",""
"13102","Хаджидимово","Гоце Делчев-Абланица","Гоце Делчев","Абланица","27","16.5","17.25","17.3","","2",""
"13101","Хаджидимово","Гоце Делчев-Беслен","Беслен","Гоце Делчев","30","7.3","9","16.45","17.58","5",""
"13106","Хаджидимово","Гоце Делчев-Беслен","Беслен","Гоце Делчев","35","12.1","13.27","14.11","15.39","6","в понеделник и петък"
"13101","Хаджидимово","Гоце Делчев-Петрелик","Гоце Делчев","Петрелик","20","6.45","7.25","7.3","8.1","4",""
"13102","Хаджидимово","Гоце Делчев-Петрелик","Гоце Делчев","Петрелик","20","13.3","14.1","14.15","14.55","4",""
"13103","Хаджидимово","Гоце Делчев-Петрелик","Гоце Делчев","Петрелик","20","17","17.4","17.45","18.25","4",""
"13101","Хаджидимово","Гоце Делчев-Хаджидимово","Гоце Делчев","Хаджидимово","16","6.1","6.4","7","7.3","3",""
"13102","Хаджидимово","Гоце Делчев-Хаджидимово","Гоце Делчев","Хаджидимово","16","9.1","9.4","9.55","10.25","3",""
"13103","Хаджидимово","Гоце Делчев-Хаджидимово","Гоце Делчев","Хаджидимово","16","11.3","12","12.15","12.45","3",""
"13104","Хаджидимово","Гоце Делчев-Хаджидимово","Гоце Делчев","Хаджидимово","16","15.15","15.45","16","16.3","3",""
"13105","Хаджидимово","Гоце Делчев-Хаджидимово","Гоце Делчев","Хаджидимово","16","18.3","19","19.15","19.45","3",""
"14101","Якоруда","Благоевград-Якоруда","Якоруда","Благоевград","91","8","10.1","11.2","13.3","5",""
